Title,RottenTomatoesCritics,RottenTomatoesAudience
American Hustle,0.93,0.78
Captain Phillips,0.93,0.91
Dallas Buyers Club,0.94,0.92
Gravity,0.97,0.84
Nebraska,0.92,0.87
Philomena,0.92,0.9
12 Years a Slave,0.96,0.92
The Wolf of Wall Street,0.77,0.83
Her,0.94,0.85
Star Trek Into Darkness,0.87,0.9
Pacific Rim,0.71,0.78
Homefront,0.41,0.64
Grown Ups 2,0.07,0.55
Oz The Great and Powerful,0.59,0.57
"The Way, Way Back",0.85,0.85
This is the End,0.83,0.73
The World's End,0.89,0.73
Baggage Claim,0.14,0.55
After Earth,0.11,0.38
Anchorman 2: The Legend Continues,0.74,0.62
The Book Thief,0.5,0.78
A good Day to Die Hard,0.14,0.42
Last Vegas,0.47,0.62
The Place Beyond the Pines,0.81,0.75
47 Ronin,0.12,0.55
Lone Survivor,0.74,0.9
Fruitvale Station,0.94,0.89
Admission,0.38,0.34
The Hunger Games: Catching Fire,0.89,0.91
All is Lost,0.93,0.67
Don Jon,0.81,0.63
Saving Mr. Banks,0.8,0.88
Machete Kills,0.29,0.4
Ender's Game,0.61,0.71
Amour,0.93,0.82
Argo,0.96,0.9
Beasts of the Southern Wild,0.86,0.76
Django Unchained,0.88,0.92
Les Miserables,0.7,0.79
Life of Pi,0.87,0.85
Lincoln,0.9,0.81
Silver Linings Playbook,0.92,0.86
Zero Dark Thirty,0.93,0.8
The Hobbit: An Unexpected Journey,0.65,0.83
Wreck-It Ralph,0.86,0.87
Rock of Ages,0.41,0.55
People Like Us,0.55,0.63
Fun Size,0.25,0.48
The Man With the Iron Fists,0.49,0.41
Bernie,0.9,0.72
Trouble with the Curve,0.51,0.67
Cabin in the Woods,0.92,0.73
Seven Psychopaths,0.83,0.71
Tyler Perry's Good Deeds,0.31,0.77
MIB 3,0.7,0.71
The Master,0.85,0.6
That's My Boy,0.2,0.53
Contraband,0.51,0.58
Gone,0.11,0.43
Frankenweenie,0.87,0.7
Brave,0.78,0.76
The Raven,0.23,0.46
Salmon Fishing in the Yemen,0.67,0.64
Prometheus,0.74,0.69
Joyful Noise,0.33,0.66
Hitchcock,0.62,0.61
Think Like a Man,0.53,0.8
What to Expect When You're Expecting,0.22,0.48
The Artist,0.98,0.89
The Descendants,0.89,0.79
Extremely Loud and Incredibly Close,0.47,0.61
The Help,0.76,0.9
Hugo,0.94,0.79
Midnight in Paris,0.93,0.82
Moneyball,0.95,0.86
The Tree of Life,0.84,0.6
War Horse,0.77,0.74
The Darkest Hour,0.12,0.25
Arthur,0.26,0.47
Warrior,0.83,0.93
Bridesmaids,0.9,0.76
50/50,0.93,0.89
Battle: Los Angeles,0.35,0.49
Beastly,0.2,0.48
Bad Teacher,0.44,0.36
Larry Crowne,0.35,0.43
Shark Night 3D,0.16,0.23
Captain America: The First Avenger,0.79,0.75
The Eagle,0.38,0.42
Green Lantern,0.26,0.47
Contagion,0.84,0.61
Final Destination 5,0.61,0.52
The Dilemma,0.24,0.31
Super 8,0.82,0.78
A Separation,0.99,0.92
Something Borrowed,0.15,0.48
Cowboys and Aliens,0.44,0.45
Winnie the Pooh,0.91,0.78
I Don't Know How She Does It,0.17,0.32
No Strings Attached,0.49,0.55
The Smurfs,0.23,0.46
The Thing,0.36,0.42
The King's Speech,0.95,0.93
Black Swan,0.87,0.86
The Fighter,0.9,0.88
Inception,0.86,0.93
The Kids Are Alright,0.93,0.72
127 Hours,0.93,0.84
The Social Network,0.96,0.89
Toy Story 3,0.99,0.91
True Grit,0.96,0.86
Winter's Bone,0.94,0.74
From Paris with Love,0.37,0.57
Shutter Island,0.69,0.73
Eat Pray Love,0.37,0.45
Grown Ups,0.1,0.59
Vampires Suck,0.04,0.31
Morning Glory,0.55,0.52
Charlie St. Cloud,0.27,0.61
The Losers,0.49,0.54
Remember Me,0.28,0.69
Legion,0.2,0.36
The Girl Who Played with Fire,0.7,0.68
The Sorcerer's Apprentice,0.41,0.56
Edge of Darkness,0.58,0.56
Resident Evil: Afterlife,0.24,0.51
The Last Song,0.19,0.65
Case 39,0.23,0.42
The Switch,0.51,0.44
The Next Three Days,0.52,0.66
Tangled,0.9,0.87
Our Family Wedding,0.14,0.48
The Last Airbender,0.06,0.42
Blue Valentine,0.88,0.75
Country Strong,0.22,0.53
Knight & Day,0.53,0.52
Gulliver's Travels,0.21,0.3
Karate Kid,0.67,0.75
Secretariat,0.64,0.76
Harry Potter and the Deathly Hallows Part 1,0.79,0.87
Jonah Hex,0.13,0.23
The Twilight Saga: Eclipse,0.49,0.74
The Hurt Locker,0.97,0.83
Avatar,0.83,0.92
The Blind Side,0.66,0.9
District 9,0.91,0.81
An Education,0.94,0.78
Inglourious Basterds,0.88,0.87
Precious,0.91,0.8
A Serious Man,0.89,0.65
Up ,0.98,0.86
Up in the Air,0.91,0.76
Tyler Perry's Madea Goes to Jail,0.28,0.74
Dragonball Evolution,0.14,0.27
Gamer,0.29,0.42
Tyler Perry's I Can Do Bad All By Myself,0.62,0.81
Watchmen,0.64,0.68
Fantastic Mr. Fox,0.93,0.81
Astro Boy,0.49,0.53
Notorious,0.5,0.66
